model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,93,0.0727380133232083,98.08080808080808,9710,9900,1.5353232722386871
36,93,0.11307507526392889,97.06060606060606,9609,9900,1.5265837434600529
58,93,0.1512151996415071,96.1010101010101,9514,9900,1.5457741259043734
71,93,0.08682896282034691,97.62626262626263,9665,9900,1.548742226988319
global,93,0.5130106376879143,87.15151515151514,8628,9900
13,94,0.07121418524270105,98.15151515151516,9717,9900,1.4904268272991328
36,94,0.1633714468762128,95.84848484848484,9489,9900,1.4419007318959547
58,94,0.14968937540897215,96.0909090909091,9513,9900,1.5449214120278225
71,94,0.0898527489406894,97.47474747474747,9650,9900,1.570365487338684
global,94,0.486631724232375,87.68686868686869,8681,9900
13,95,0.027219318867557577,99.2121212121212,9822,9900,1.5171281105619994
36,95,0.1959516235373237,95.48484848484848,9453,9900,1.4866015148997302
58,95,0.1927341503145719,95.04040404040404,9409,9900,1.6102985583870946
71,95,0.14434073512602333,96.15151515151516,9519,9900,1.4765936631239425
global,95,0.46143028948042125,88.28282828282829,8740,9900
13,96,0.12354298328510438,96.76767676767678,9580,9900,1.4172776064254056
36,96,0.04349694323829479,98.66666666666667,9768,9900,1.5084932994143698
58,96,0.29703475448820327,92.4040404040404,9148,9900,1.5273403938432195
71,96,0.09181112416765906,97.55555555555556,9658,9900,1.5789553280261672
global,96,0.45471973086848405,88.30303030303031,8742,9900
13,97,0.05053328906383478,98.51515151515152,9753,9900,1.4351235524597123
36,97,0.08229199998908572,97.67676767676767,9670,9900,1.4661096418215251
58,97,0.22527469686787538,94.37373737373737,9343,9900,1.4883896195012538
71,97,0.1056242590600794,97.04040404040404,9607,9900,1.5362690006133313
global,97,0.40690403350675947,89.4949494949495,8860,9900
13,98,0.06720175032174648,98.16161616161617,9718,9900,1.4942131473667986
36,98,0.050485439790469225,98.52525252525253,9754,9900,1.4498670418388784
58,98,0.15527558677425288,96.0909090909091,9513,9900,1.5220494133175178
71,98,0.043299352408885355,98.7878787878788,9780,9900,1.5349583000706999
global,98,0.3781387323321718,90.07070707070707,8917,9900
13,99,0.021682759303637226,99.32323232323232,9833,9900,1.4729562145285287
36,99,0.08201754767334822,97.79797979797979,9682,9900,1.5019075662080077
58,99,0.12046086643079315,96.91919191919192,9595,9900,1.545871062045396
71,99,0.14554713583353793,96.15151515151516,9519,9900,1.5530164930176495
global,99,0.34412626921528516,90.73737373737374,8983,9900
13,100,0.08071907754648816,97.91919191919192,9694,9900,1.4172744101862986
36,100,0.057199657383666495,98.46464646464646,9748,9900,1.4207734252888742
58,100,0.11928513779784694,96.9090909090909,9594,9900,1.5080191515103585
71,100,0.05700854943256185,98.24242424242425,9726,9900,1.4870475401471586
global,100,0.2999043716565527,91.82828282828282,9091,9900
13,101,0.045933927331458436,98.66666666666667,9768,9900,1.43085786203382
36,101,0.04849885755999371,98.4949494949495,9751,9900,1.4522231389978173
58,101,0.09751619199234428,97.46464646464646,9649,9900,1.4857213389575084
71,101,0.02515917052298483,99.3030303030303,9831,9900,1.5189077475926644
global,101,0.2764557482016207,92.37373737373737,9145,9900
13,102,0.12741028223073844,96.57575757575756,9561,9900,1.3298062622251035
36,102,0.05607409246416405,98.57575757575758,9759,9900,1.4697086371155628
58,102,0.1322266441222393,96.69696969696969,9573,9900,1.5079342491528158
71,102,0.03939335533088506,98.8989898989899,9791,9900,1.517076564076293
global,102,0.2620278093068287,92.8080808080808,9188,9900
13,103,0.11242970487385086,96.93939393939394,9597,9900,1.3870437026423703
36,103,0.08835123870559412,97.66666666666667,9669,9900,1.4733579061941715
58,103,0.15615683127533306,95.94949494949495,9499,9900,1.5044743245280268
71,103,0.03672240850525071,99.06060606060606,9807,9900,1.4996269079973517
global,103,0.2573621534097074,92.83838383838385,9191,9900
13,104,0.07557873942635276,97.96969696969697,9699,9900,1.4680734252964895
36,104,0.0715976354043291,98.12121212121212,9714,9900,1.4135546114653765
58,104,0.23369319349828394,93.48484848484848,9255,9900,1.4675426796680697
71,104,0.06286640403547672,98.26262626262626,9728,9900,1.4595322812134628
global,104,0.25829534222381284,92.81818181818183,9189,9900
13,105,0.10128965648135754,97.32323232323232,9635,9900,1.382081264110569
36,105,0.07001444318529332,97.98989898989899,9701,9900,1.4029538413412406
58,105,0.1696118960476885,95.39393939393939,9444,9900,1.4475697803972225
