model,epoch,average_loss,accuracy,correct_data,total_data,distance
global,107,0.05192501595827064,98.72727272727273,9774,9900
13,108,0.039132956468095684,99.01010101010101,9802,9900,1.2140486099057362
36,108,0.06194331369165218,98.37373737373737,9739,9900,1.2645858454587684
58,108,0.07580597861020855,98.28282828282828,9730,9900,1.3776398373500447
71,108,0.08912153990581782,97.74747474747475,9677,9900,1.2939355468381484
global,108,0.04817003357892084,98.83838383838383,9785,9900
13,109,0.0699624840779738,98.14141414141415,9716,9900,1.2320151164099746
36,109,0.07051605225512475,98.14141414141415,9716,9900,1.260344616220398
58,109,0.08875924126367377,97.57575757575758,9660,9900,1.408338267789845
71,109,0.10220917082796194,97.32323232323232,9635,9900,1.3243730843328976
global,109,0.049007967514823184,98.84848484848486,9786,9900
13,110,0.020536939224811514,99.44444444444444,9845,9900,1.2217225235733045
36,110,0.030285877155685665,99.2121212121212,9822,9900,1.2116329042190055
58,110,0.182834319123114,95.58585858585859,9463,9900,1.4117299858959211
71,110,0.019396951599705097,99.56565656565657,9857,9900,1.2525159311709029
global,110,0.04765327640555122,98.88888888888889,9790,9900
13,111,0.026168245428589858,99.38383838383838,9839,9900,1.131178894758887
36,111,0.05926084505262399,98.52525252525253,9754,9900,1.2417773643321692
58,111,0.0813051901441632,97.92929292929293,9695,9900,1.3231188051477862
71,111,0.10429629911075938,97.33333333333334,9636,9900,1.310173925327183
global,111,0.04780882748690519,98.87878787878788,9789,9900
13,112,0.02955396291282442,99.27272727272727,9828,9900,1.187322954732938
36,112,0.039144008608177454,99.06060606060606,9807,9900,1.2201132852300483
58,112,0.06499439421326222,98.21212121212122,9723,9900,1.3527832251553757
71,112,0.058793547513208005,98.48484848484848,9750,9900,1.2799163017624284
global,112,0.04514973356567248,98.93939393939394,9795,9900
13,113,0.018066924081908332,99.56565656565657,9857,9900,1.2041048790854314
36,113,0.035561832249766646,99.14141414141415,9815,9900,1.2771297357207616
58,113,0.08715024986953446,97.88888888888889,9691,9900,1.394456236288325
71,113,0.02930963057272061,99.15151515151514,9816,9900,1.3134619956644618
global,113,0.04090403963068519,99.05050505050505,9806,9900
13,114,0.05269306347225652,98.65656565656565,9767,9900,1.1719195548170729
36,114,0.035911429078892027,99.12121212121212,9813,9900,1.1933120243649171
58,114,0.04235141476823224,99.04040404040404,9805,9900,1.3542834549451588
71,114,0.02772869536370942,99.36363636363636,9837,9900,1.2809034669761128
global,114,0.038003206987573646,99.13131313131314,9814,9900
13,115,0.05918543059717525,98.56565656565657,9758,9900,1.147571262980816
36,115,0.038381008151354215,99.06060606060606,9807,9900,1.2158670316858418
58,115,0.054058207330679654,98.73737373737373,9775,9900,1.351361739402228
71,115,0.03297451073247375,99.14141414141415,9815,9900,1.2472215290440534
global,115,0.034453633984532016,99.24242424242425,9825,9900
13,116,0.02354139644840751,99.4949494949495,9850,9900,1.1768963364233516
36,116,0.03165853572952928,99.15151515151514,9816,9900,1.2489908913554344
58,116,0.05466094401298147,98.68686868686869,9770,9900,1.305215648722971
71,116,0.04881695336163646,98.76767676767678,9778,9900,1.3330361164148257
global,116,0.030991764270296,99.3030303030303,9831,9900
13,117,0.046744739610438395,98.86868686868688,9788,9900,1.2250727943278648
36,117,0.04337143192688624,98.92929292929293,9794,9900,1.2424931659932694
58,117,0.011430936776327364,99.63636363636364,9864,9900,1.3916571140913228
71,117,0.03158266388688876,99.17171717171716,9818,9900,1.1939755111911456
global,117,0.0294617294693234,99.33333333333333,9834,9900
13,118,0.030267587614932447,99.28282828282829,9829,9900,1.1179676666361147
36,118,0.06240308798623807,98.35353535353535,9737,9900,1.2088801473082558
58,118,0.04044912027778349,99.07070707070707,9808,9900,1.3285660852743775
71,118,0.06296110066199544,98.37373737373737,9739,9900,1.2036072891426655
global,118,0.027814144218208815,99.39393939393939,9840,9900
13,119,0.07157831387086348,98.29292929292929,9731,9900,1.0849221511898703
36,119,0.048711868318343406,98.80808080808082,9782,9900,1.2305374852918682
58,119,0.07204541225626011,98.1919191919192,9721,9900,1.4282337573019432
71,119,0.029754784192626525,99.20202020202021,9821,9900,1.2061529822197676
global,119,0.02934872231549687,99.33333333333333,9834,9900
13,120,0.03465037736025724,99.1010101010101,9811,9900,1.1193002849885565
36,120,0.03657156090242694,99.06060606060606,9807,9900,1.1872776224823283
58,120,0.11438563413692243,97.12121212121212,9615,9900,1.3232137191356463
71,120,0.06399411243320716,98.39393939393939,9741,9900,1.2584754192056888
global,120,0.02752154029378987,99.41414141414141,9842,9900
13,121,0.05440488101858081,98.70707070707071,9772,9900,1.0638963275502182
36,121,0.0713285422987408,98.25252525252526,9727,9900,1.1950112256117402
58,121,0.03861056593933491,98.93939393939394,9795,9900,1.333701912282085
71,121,0.013001369089734826,99.71717171717171,9872,9900,1.1710029918068863
global,121,0.024043829493751428,99.45454545454545,9846,9900
13,122,0.05699545319935288,98.55555555555556,9757,9900,1.037785828525357
36,122,0.06101310313651056,98.4949494949495,9751,9900,1.224306205931575
58,122,0.1036824944434744,97.32323232323232,9635,9900,1.3044432451411259
71,122,0.07179334867482233,98.21212121212122,9723,9900,1.2351196553879347
global,122,0.02399049154134712,99.46464646464646,9847,9900
